model,n_shots,iteration,task,auroc,auprc,auprc_c,ece,auroc_lower_ci,auroc_upper_ci,auprc_lower_ci,auprc_upper_ci,auprc_c_lower_ci,auprc_c_upper_ci,ece_lower_ci,ece_upper_ci,nboot,path_results
clmbr_stanford,256,17,mortality_sql,0.8677880499914399,0.24775848484953117,0.8523083527883067,0.009776326384560455,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/mortality_sql/results.pkl
clmbr_stanford,256,17,long_los_sql,0.7361340686387787,0.4671221892579373,0.690291822082967,0.0413476600918617,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/long_los_sql/results.pkl
clmbr_stanford,256,17,readmission_sql,0.550625081390806,0.010424850176845493,0.5612299154444813,0.00529660802614389,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/readmission_sql/results.pkl
clmbr_stanford,256,17,anemia_lab_sql,0.7788985988952578,0.19281388440528185,0.746401781118458,0.01748666108701038,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/anemia_lab_sql/results.pkl
clmbr_stanford,256,17,hyperkalemia_lab_sql,0.7693641042876438,0.02413671079913175,0.73597675254692,0.004716919550180522,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/hyperkalemia_lab_sql/results.pkl
clmbr_stanford,256,17,hypoglycemia_lab_sql,0.7302626518997077,0.040215623125540056,0.6777679881316299,0.007028205428724536,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/hypoglycemia_lab_sql/results.pkl
clmbr_stanford,256,17,hyponatremia_lab_sql,0.7286950976574624,0.023299250580136606,0.7135143715911165,0.004170967003688945,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/hyponatremia_lab_sql/results.pkl
clmbr_stanford,256,17,thrombocytopenia_lab_sql,0.9052460784622971,0.30738098863186314,0.8977462618180868,0.00607137713275418,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_stanford_256_iter17/thrombocytopenia_lab_sql/results.pkl
clmbr_mimic,64,19,mortality_sql,0.9016634038741629,0.3188840292542243,0.8892321930108037,0.010857313210696837,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/mortality_sql/results.pkl
clmbr_mimic,64,19,long_los_sql,0.753705243016003,0.481046764536454,0.7026115915293978,0.022952788637907694,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/long_los_sql/results.pkl
clmbr_mimic,64,19,readmission_sql,0.6471473426806152,0.024762407469776634,0.6932767361323002,0.0035160396081396973,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/readmission_sql/results.pkl
clmbr_mimic,64,19,anemia_lab_sql,0.7693062311338289,0.17463440177733083,0.7260850591457071,0.0174486298152787,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/anemia_lab_sql/results.pkl
clmbr_mimic,64,19,hyperkalemia_lab_sql,0.7194857815038184,0.015140904487110519,0.6652898050211737,0.003325891792214785,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/hyperkalemia_lab_sql/results.pkl
clmbr_mimic,64,19,hypoglycemia_lab_sql,0.7940550354890457,0.06699501350366761,0.7703183394513298,0.0025951623721830294,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/hypoglycemia_lab_sql/results.pkl
clmbr_mimic,64,19,hyponatremia_lab_sql,0.7784803697496064,0.03408793186754959,0.7479932717206952,0.001526798726401894,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/hyponatremia_lab_sql/results.pkl
clmbr_mimic,64,19,thrombocytopenia_lab_sql,0.895877009622183,0.26198530887766097,0.8818340575941741,0.008370556168745238,,,,,,,,,0,/hpf/projects/lsung/phi/projects/lguo/femr-on-mimic/data/evaluate/adapter_models_few_shots/clmbr_mimic_64_iter19/thrombocytopenia_lab_sql/results.pkl
