Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Num Training Samples
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.216 [0.09, 0.345]","0.212 [0.088, 0.339]","0.004 [-0.006, 0.022]",0.6156,256
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.782 [0.731, 0.847]","0.785 [0.738, 0.844]","-0.003 [-0.013, 0.005]",0.4524,256
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.802 [0.743, 0.863]","0.801 [0.739, 0.862]","0.0 [-0.009, 0.009]",0.9472,256
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.009 [0.005, 0.017]","0.01 [0.005, 0.017]","-0.0 [-0.001, 0.0]",0.5108,256
auprc,CLMBR,CLMBR_MIMIC,"0.082 [0.029, 0.166]","0.091 [0.034, 0.184]","-0.009 [-0.018, -0.003]",0.0,2
auprc_c,CLMBR,CLMBR_MIMIC,"0.591 [0.567, 0.619]","0.608 [0.579, 0.633]","-0.016 [-0.033, 0.004]",0.112,2
auroc,CLMBR,CLMBR_MIMIC,"0.593 [0.569, 0.626]","0.608 [0.571, 0.637]","-0.013 [-0.035, 0.013]",0.326,2
ece,CLMBR,CLMBR_MIMIC,"0.018 [0.008, 0.033]","0.018 [0.008, 0.034]","0.0 [-0.001, 0.002]",0.746,2
auprc,CLMBR,CLMBR_MIMIC,"0.129 [0.05, 0.227]","0.15 [0.058, 0.257]","-0.02 [-0.034, -0.006]",0.002,32
auprc_c,CLMBR,CLMBR_MIMIC,"0.701 [0.66, 0.754]","0.727 [0.683, 0.784]","-0.026 [-0.042, -0.009]",0.0,32
auroc,CLMBR,CLMBR_MIMIC,"0.72 [0.673, 0.774]","0.752 [0.7, 0.81]","-0.032 [-0.047, -0.018]",0.0,32
ece,CLMBR,CLMBR_MIMIC,"0.012 [0.006, 0.023]","0.013 [0.006, 0.026]","-0.001 [-0.004, 0.001]",0.4134,32
auprc,CLMBR_DAPT,GBM,"0.215 [0.09, 0.345]","0.187 [0.076, 0.32]","0.028 [-0.004, 0.062]",0.0942,256
auprc_c,CLMBR_DAPT,GBM,"0.782 [0.731, 0.847]","0.729 [0.672, 0.807]","0.054 [0.035, 0.068]",0.0,256
