Metric,Model 1 Name,Model 2 Name,Model 1 Performance,Model 2 Performance,Difference,P-value,Pretraining Subsample
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.288 [0.128, 0.438]","0.299 [0.133, 0.456]","-0.009 [-0.03, 0.007]",0.2766,0.8
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.838 [0.79, 0.887]","0.841 [0.796, 0.892]","-0.003 [-0.013, 0.007]",0.527,0.8
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.848 [0.782, 0.896]","0.85 [0.792, 0.898]","-0.003 [-0.016, 0.008]",0.575,0.8
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.006 [0.003, 0.01]","0.006 [0.004, 0.01]","-0.001 [-0.002, 0.001]",0.4518,0.8
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.261 [0.114, 0.398]","0.299 [0.133, 0.456]","-0.036 [-0.068, -0.007]",0.0178,0.001
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.819 [0.768, 0.87]","0.841 [0.796, 0.892]","-0.023 [-0.037, -0.01]",0.0,0.001
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.828 [0.765, 0.88]","0.85 [0.792, 0.898]","-0.022 [-0.038, -0.01]",0.0,0.001
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.007 [0.003, 0.012]","0.006 [0.004, 0.01]","0.001 [-0.001, 0.003]",0.5822,0.001
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.272 [0.125, 0.415]","0.299 [0.133, 0.456]","-0.025 [-0.058, -0.001]",0.044,0.05
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.826 [0.772, 0.877]","0.841 [0.796, 0.892]","-0.016 [-0.031, -0.003]",0.0104,0.05
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.837 [0.768, 0.887]","0.85 [0.792, 0.898]","-0.014 [-0.032, -0.001]",0.0356,0.05
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.007 [0.004, 0.011]","0.006 [0.004, 0.01]","0.0 [-0.001, 0.003]",0.8056,0.05
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.277 [0.122, 0.426]","0.299 [0.133, 0.456]","-0.02 [-0.044, -0.001]",0.0364,0.2
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.829 [0.776, 0.881]","0.841 [0.796, 0.892]","-0.013 [-0.026, -0.001]",0.04,0.2
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.839 [0.769, 0.89]","0.85 [0.792, 0.898]","-0.011 [-0.028, -0.0]",0.046,0.2
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.006 [0.004, 0.009]","0.006 [0.004, 0.01]","-0.0 [-0.002, 0.001]",0.7004,0.2
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.27 [0.117, 0.411]","0.299 [0.133, 0.452]","-0.027 [-0.055, -0.006]",0.014,0.01
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.82 [0.768, 0.872]","0.841 [0.796, 0.891]","-0.021 [-0.035, -0.01]",0.0,0.01
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.83 [0.766, 0.881]","0.85 [0.793, 0.898]","-0.02 [-0.037, -0.01]",0.0,0.01
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.007 [0.004, 0.012]","0.006 [0.004, 0.01]","0.0 [-0.001, 0.003]",0.714,0.01
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.279 [0.129, 0.42]","0.299 [0.133, 0.456]","-0.019 [-0.048, 0.004]",0.0962,0.1
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.828 [0.774, 0.879]","0.841 [0.796, 0.892]","-0.014 [-0.029, -0.001]",0.0358,0.1
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.838 [0.77, 0.889]","0.85 [0.792, 0.898]","-0.013 [-0.03, -0.0]",0.042,0.1
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.006 [0.004, 0.011]","0.006 [0.004, 0.01]","0.0 [-0.001, 0.002]",0.8462,0.1
auprc,CLMBR_DAPT,CLMBR_MIMIC,"0.287 [0.129, 0.435]","0.299 [0.133, 0.456]","-0.012 [-0.036, 0.006]",0.2056,0.4
auprc_c,CLMBR_DAPT,CLMBR_MIMIC,"0.835 [0.784, 0.885]","0.841 [0.796, 0.892]","-0.006 [-0.019, 0.005]",0.2536,0.4
auroc,CLMBR_DAPT,CLMBR_MIMIC,"0.844 [0.775, 0.894]","0.85 [0.792, 0.898]","-0.006 [-0.024, 0.005]",0.3156,0.4
ece,CLMBR_DAPT,CLMBR_MIMIC,"0.006 [0.004, 0.01]","0.006 [0.004, 0.01]","-0.0 [-0.002, 0.001]",0.826,0.4
